Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester Utd,42,24,12,6,67,31,36,84,2,35132,Mark Hughes - 15,Peter Schmeichel,→ Champions League via league finish
2,Aston Villa,42,21,11,10,57,40,17,74,1.76,29594,Dean Saunders - 13,Nigel Spink,→ UEFA Cup via league finish
3,Norwich City,42,21,9,12,61,65,-4,72,1.71,16253,Mark Robins - 15,Bryan Gunn,→ UEFA Cup via league finish 1
4,Blackburn,42,20,11,11,68,46,22,71,1.69,16247,Alan Shearer - 16,Bobby Mimms,
5,QPR,42,17,12,13,63,55,8,63,1.5,15001,Les Ferdinand - 20,Tony Roberts,
6,Liverpool,42,16,11,15,62,55,7,59,1.4,37009,Ian Rush - 14,David James,
7,Sheffield Weds,42,15,14,13,55,51,4,59,1.4,27264,Mark Bright David Hirst - 11,Chris Woods,
8,Tottenham,42,16,11,15,60,66,-6,59,1.4,27879,Teddy Sheringham - 21,Erik Thorstvedt,
9,Manchester City,42,15,12,15,56,51,5,57,1.36,24698,David White - 16,Tony Coton,
10,Arsenal,42,15,11,16,40,38,2,56,1.33,24403,Ian Wright - 15,David Seaman,→ European Cup Winners' Cup via cup win 2
11,Chelsea,42,14,14,14,51,54,-3,56,1.33,18754,Mick Harford Graham Stuart - 9,Kevin Hitchcock,
12,Wimbledon,42,14,12,16,56,55,1,54,1.29,8405,Dean Holdsworth - 19,Hans Segers,
13,Everton,42,15,8,19,53,55,-2,53,1.26,20457,Tony Cottee - 12,Neville Southall,
14,Sheffield Utd,42,14,10,18,54,53,1,52,1.24,18799,Brian Deane - 15,Alan Kelly Jr.,
15,Coventry City,42,13,13,16,52,57,-5,52,1.24,15504,Micky Quinn - 17,Steve Ogrizovic,
16,Ipswich Town,42,12,16,14,50,55,-5,52,1.24,18185,Chris Kiwomya - 10,Clive Baker,
17,Leeds United,42,12,15,15,57,62,-5,51,1.21,29229,Lee Chapman - 13,John Lukic,
18,Southampton,42,13,11,18,54,61,-7,50,1.19,15382,Matt Le Tissier - 15,Tim Flowers,
19,Oldham Athletic,42,13,10,19,63,74,-11,49,1.17,12862,Ian Olney - 12,Paul Gerrard,
20,Crystal Palace,42,11,16,15,48,61,-13,49,1.17,15726,Chris Armstrong - 15,Nigel Martyn,Relegated
21,Middlesbrough,42,11,11,20,54,75,-21,44,1.05,16522,Paul Wilkinson - 13,Stephen Pears,Relegated
22,Nott'ham Forest,42,10,10,22,41,62,-21,40,0.95,21910,Nigel Clough - 10,Mark Crossley,Relegated
