Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
39,Tal Ben Haim,il ISR,DF,Bolton,24,1982,32,30,"2,685",29.8,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
40,Yossi Benayoun,il ISR,MF,West Ham,26,1980,29,25,"2,270",25.2,3,3,6,3,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches
41,Benjani,zw ZIM,FW,Portsmouth,27,1978,31,25,"2,041",22.7,6,3,9,6,0,0,0,0,0.26,0.13,0.4,0.26,0.4,Matches
42,Ian Bennett,eng ENG,GK,Sheffield Utd,34,1971,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Darren Bent,eng ENG,FW,Charlton Ath,22,1984,32,32,"2,865",31.8,13,1,14,10,3,3,1,0,0.41,0.03,0.44,0.31,0.35,Matches
44,Marcus Bent,eng ENG,FW,Charlton Ath,28,1978,30,17,"1,484",16.5,1,2,3,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,Matches
45,David Bentley,eng ENG,MF,Blackburn,21,1984,36,36,"3,086",34.3,4,8,12,4,0,0,6,1,0.12,0.23,0.35,0.12,0.35,Matches
46,Dimitar Berbatov,bg BUL,FW,Tottenham,25,1981,33,30,"2,716",30.2,12,9,21,12,0,0,1,0,0.4,0.3,0.7,0.4,0.7,Matches
47,Patrik Berger,cz CZE,MF,Aston Villa,32,1973,13,5,561,6.2,2,2,4,2,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches
48,Bruno Berner,ch SUI,"DF,MF",Blackburn,28,1977,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,André Bikey,cm CMR,"DF,MF",Reading,21,1985,15,7,828,9.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
50,Kepa Blanco,es ESP,FW,West Ham,22,1984,8,1,169,1.9,1,0,1,1,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
51,Luís Boa Morte,pt POR,"FW,MF",West Ham,28,1977,14,8,773,8.6,1,2,3,1,0,0,1,0,0.12,0.23,0.35,0.12,0.35,Matches
52,Luís Boa Morte,pt POR,"FW,MF",Fulham,28,1977,15,12,"1,102",12.2,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
53,George Boateng,nl NED,MF,Middlesbrough,30,1975,35,35,"3,018",33.5,1,1,2,1,0,0,7,2,0.03,0.03,0.06,0.03,0.06,Matches
54,Carlos Bocanegra,us USA,DF,Fulham,27,1979,30,26,"2,331",25.9,5,0,5,5,0,0,5,0,0.19,0,0.19,0.19,0.19,Matches
55,Hameur Bouazza,dz ALG,"FW,MF",Watford,21,1985,32,27,"2,353",26.1,5,3,8,4,1,1,3,0,0.19,0.11,0.31,0.15,0.27,Matches
56,Papa Bouba Diop,sn SEN,"DF,MF",Fulham,28,1978,23,20,"1,708",19,0,2,2,0,0,0,4,1,0,0.11,0.11,0,0.11,Matches
57,Madjid Bougherra,dz ALG,DF,Charlton Ath,23,1982,5,2,218,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
58,Khalid Boulahrouz,nl NED,DF,Chelsea,24,1981,13,10,812,9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
59,Wilfred Bouma,nl NED,DF,Aston Villa,28,1978,25,23,"1,973",21.9,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
60,Lee Bowyer,eng ENG,MF,West Ham,29,1977,20,18,"1,436",16,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
61,Emmerson Boyce,bb BRB,DF,Wigan Athletic,26,1979,34,34,"3,020",33.6,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03,Matches
62,Titus Bramble,eng ENG,DF,Newcastle Utd,25,1981,17,17,"1,493",16.6,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
63,Wayne Bridge,eng ENG,DF,Chelsea,25,1980,22,17,"1,547",17.2,0,4,4,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
64,Matthew Briggs,gy GUY,DF,Fulham,15,1991,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Leigh Bromby,eng ENG,DF,Sheffield Utd,26,1980,17,12,"1,139",12.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
66,Jason Brown,wls WAL,GK,Blackburn,24,1982,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Michael Brown,eng ENG,MF,Fulham,29,1977,34,34,"2,936",32.6,0,0,0,0,0,0,10,0,0,0,0,0,0,Matches
68,Wes Brown,eng ENG,DF,Manchester Utd,26,1979,22,17,"1,601",17.8,0,2,2,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
69,Jimmy Bullard,eng ENG,MF,Fulham,27,1978,4,4,305,3.4,2,1,3,1,1,1,1,0,0.59,0.3,0.89,0.3,0.59,Matches
70,Nicky Butt,eng ENG,"DF,MF",Newcastle Utd,31,1975,31,27,"2,322",25.8,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches
71,Gary Cahill,eng ENG,DF,Aston Villa,20,1985,20,19,"1,744",19.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
72,Tim Cahill,au AUS,"FW,MF",Everton,26,1979,18,17,"1,404",15.6,5,0,5,5,0,0,5,0,0.32,0,0.32,0.32,0.32,Matches
73,Henri Camara,sn SEN,FW,Wigan Athletic,29,1977,23,18,"1,617",18,6,1,7,5,1,1,3,0,0.33,0.06,0.39,0.28,0.33,Matches
74,Sol Campbell,eng ENG,"DF,FW",Portsmouth,31,1974,32,32,"2,880",32,1,2,3,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matches
75,Iván Campo,es ESP,"DF,MF",Bolton,32,1974,34,31,"2,838",31.5,4,4,8,4,0,0,11,1,0.13,0.13,0.25,0.13,0.25,Matches
76,John Carew,no NOR,FW,Aston Villa,26,1979,11,11,926,10.3,3,2,5,3,0,0,2,0,0.29,0.19,0.49,0.29,0.49,Matches
77,Clarke Carlisle,eng ENG,DF,Watford,26,1979,4,4,359,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
78,Stephen Carr,ie IRL,DF,Newcastle Utd,29,1976,23,23,"2,056",22.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
79,Jamie Carragher,eng ENG,"DF,MF",Liverpool,28,1978,35,34,"2,980",33.1,1,0,1,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
80,Michael Carrick,eng ENG,MF,Manchester Utd,25,1981,33,29,"2,506",27.8,3,3,6,3,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
81,Andy Carroll,eng ENG,FW,Newcastle Utd,17,1989,4,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Roy Carroll,nir NIR,GK,West Ham,28,1977,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
83,Lee Carsley,ie IRL,MF,Everton,32,1974,38,38,"3,374",37.5,1,3,4,1,0,0,3,0,0.03,0.08,0.11,0.03,0.11,Matches
84,Scott Carson,eng ENG,GK,Charlton Ath,20,1985,36,36,"3,240",36,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
85,Ricardo Carvalho,pt POR,DF,Chelsea,28,1978,31,31,"2,641",29.3,3,1,4,3,0,0,6,0,0.1,0.03,0.14,0.1,0.14,Matches
86,Lee Cattermole,eng ENG,MF,Middlesbrough,18,1988,31,22,"1,962",21.8,1,2,3,1,0,0,10,0,0.05,0.09,0.14,0.05,0.14,Matches
87,Johan Cavalli,fr FRA,MF,Watford,24,1981,2,2,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Petr Čech,cz CZE,GK,Chelsea,24,1982,20,20,"1,715",19.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
89,Alec Chamberlain,eng ENG,GK,Watford,42,1964,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
90,James Chambers,eng ENG,DF,Watford,25,1980,12,8,726,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
91,Pascal Chimbonda,fr FRA,DF,Tottenham,27,1979,34,34,"2,912",32.4,1,3,4,1,0,0,5,0,0.03,0.09,0.12,0.03,0.12,Matches
92,Pascal Chimbonda,fr FRA,DF,Wigan Athletic,27,1979,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Philippe Christanval,fr FRA,DF,Fulham,27,1978,20,19,"1,697",18.9,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
94,Malcolm Christie,eng ENG,FW,Middlesbrough,27,1979,13,4,366,4.1,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
95,Gaël Clichy,fr FRA,DF,Arsenal,21,1985,27,26,"2,349",26.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
96,Andy Cole,eng ENG,FW,Portsmouth,34,1971,18,5,682,7.6,3,1,4,3,0,0,1,0,0.4,0.13,0.53,0.4,0.53,Matches
97,Ashley Cole,eng ENG,DF,Chelsea,25,1980,23,21,"1,848",20.5,0,2,2,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
98,Carlton Cole,eng ENG,FW,West Ham,22,1983,17,5,533,5.9,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51,Matches
99,Joe Cole,eng ENG,MF,Chelsea,24,1981,13,3,472,5.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
100,James Collins,wls WAL,DF,West Ham,22,1983,16,16,"1,361",15.1,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
101,David Connolly,ie IRL,FW,Wigan Athletic,29,1977,2,0,72,0.8,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
102,Bobby Convey,us USA,"FW,MF",Reading,23,1983,9,8,614,6.8,0,3,3,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
103,Bernardo Corradi,it ITA,FW,Manchester City,30,1976,25,19,"1,585",17.6,3,2,5,3,0,0,4,2,0.17,0.11,0.28,0.17,0.28,Matches
104,David Cotterill,wls WAL,"FW,MF",Wigan Athletic,18,1987,17,6,626,7,1,0,1,1,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
105,Peter Crouch,eng ENG,FW,Liverpool,25,1981,32,19,"1,510",16.8,9,6,15,9,0,0,2,0,0.54,0.36,0.89,0.54,0.89,Matches
106,Carlo Cudicini,it ITA,GK,Chelsea,32,1973,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Ousmane Dabo,fr FRA,MF,Manchester City,29,1977,13,10,882,9.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
108,Christian Dailly,sct SCO,DF,West Ham,32,1973,14,10,994,11,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Calum Davenport,eng ENG,DF,Tottenham,23,1983,10,8,711,7.9,1,0,1,1,0,0,1,1,0.13,0,0.13,0.13,0.13,Matches
110,Calum Davenport,eng ENG,DF,West Ham,23,1983,6,5,529,5.9,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
111,Edgar Davids,nl NED,MF,Tottenham,33,1973,9,6,515,5.7,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
112,Andrew Davies,eng ENG,DF,Middlesbrough,21,1984,23,21,"1,903",21.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
113,Kevin Davies,eng ENG,FW,Bolton,29,1977,30,30,"2,530",28.1,8,5,13,8,0,0,10,1,0.28,0.18,0.46,0.28,0.46,Matches
114,Simon Davies,wls WAL,MF,Everton,26,1979,15,13,"1,106",12.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Simon Davies,wls WAL,MF,Fulham,26,1979,14,14,"1,237",13.7,2,3,5,2,0,0,1,0,0.15,0.22,0.36,0.15,0.36,Matches
116,Claude Davis,jm JAM,DF,Sheffield Utd,27,1979,21,18,"1,496",16.6,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
117,Sean Davis,eng ENG,MF,Portsmouth,26,1979,31,29,"2,490",27.7,0,5,5,0,0,0,5,0,0,0.18,0.18,0,0.18,Matches
118,Steven Davis,nir NIR,MF,Aston Villa,21,1985,28,17,"1,649",18.3,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
119,Michael Dawson,eng ENG,DF,Tottenham,22,1983,37,37,"3,284",36.5,1,1,2,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,Matches
120,Jermain Defoe,eng ENG,FW,Tottenham,23,1982,34,20,"1,927",21.4,10,0,10,7,3,3,2,0,0.47,0,0.47,0.33,0.33,Matches
121,Jay DeMerit,us USA,DF,Watford,26,1979,32,29,"2,755",30.6,2,0,2,2,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
122,Clint Dempsey,us USA,"FW,MF",Fulham,23,1983,10,1,252,2.8,1,0,1,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
123,Denílson,br BRA,MF,Arsenal,18,1988,10,4,383,4.3,0,1,1,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
124,Andy van der Meyde,nl NED,"FW,MF",Everton,26,1979,8,5,387,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
125,Edwin van der Sar,nl NED,GK,Manchester Utd,35,1970,32,32,"2,880",32,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
126,Matt Derbyshire,eng ENG,FW,Blackburn,20,1986,22,8,777,8.6,5,1,6,5,0,0,1,0,0.58,0.12,0.69,0.58,0.69,Matches
127,Abou Diaby,fr FRA,MF,Arsenal,20,1986,12,9,743,8.3,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
128,Lassana Diarra,fr FRA,MF,Chelsea,21,1985,10,7,557,6.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
129,Souleymane Diawara,sn SEN,DF,Charlton Ath,27,1978,23,18,"1,649",18.3,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
130,Paul Dickov,sct SCO,FW,Manchester City,33,1972,16,9,816,9.1,0,2,2,0,0,0,4,0,0,0.22,0.22,0,0.22,Matches
131,Sylvain Distin,fr FRA,DF,Manchester City,28,1977,37,37,"3,256",36.2,2,0,2,2,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
132,Eric Djemba-Djemba,cm CMR,MF,Aston Villa,25,1981,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Johan Djourou,ch SUI,DF,Arsenal,19,1987,21,18,"1,541",17.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
134,Lee Dong-gook,kr KOR,FW,Middlesbrough,27,1979,8,3,277,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Roudolphe Douala,cm CMR,"FW,MF",Portsmouth,27,1978,7,1,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Stewart Downing,eng ENG,"FW,MF",Middlesbrough,22,1984,34,34,"3,039",33.8,2,8,10,2,0,0,4,0,0.06,0.24,0.3,0.06,0.3,Matches
137,Kevin Doyle,ie IRL,FW,Reading,22,1983,32,28,"2,471",27.5,13,1,14,10,3,3,0,0,0.47,0.04,0.51,0.36,0.4,Matches
138,Lloyd Doyley,jm JAM,DF,Watford,23,1982,21,17,"1,619",18,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
139,Didier Drogba,ci CIV,FW,Chelsea,28,1978,36,32,"2,944",32.7,20,4,24,20,0,0,9,0,0.61,0.12,0.73,0.61,0.73,Matches
140,Michael Duberry,eng ENG,DF,Reading,30,1975,8,8,676,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
141,Jerzy Dudek,pl POL,GK,Liverpool,33,1973,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Damien Duff,ie IRL,"FW,MF",Newcastle Utd,27,1979,22,20,"1,728",19.2,1,1,2,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1,Matches
143,David Dunn,eng ENG,MF,Blackburn,26,1979,11,7,590,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
144,Richard Dunne,ie IRL,DF,Manchester City,26,1979,38,38,"3,420",38,1,0,1,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
145,Kieron Dyer,eng ENG,MF,Newcastle Utd,27,1978,22,20,"1,690",18.8,5,2,7,5,0,0,1,0,0.27,0.11,0.37,0.27,0.37,Matches
146,Chris Eagles,eng ENG,MF,Manchester Utd,20,1985,2,1,93,1,1,0,1,1,0,0,0,0,0.97,0,0.97,0.97,0.97,Matches
147,Emmanuel Eboué,ci CIV,"DF,MF",Arsenal,23,1983,24,23,"2,061",22.9,0,4,4,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
148,David Edgar,ca CAN,DF,Newcastle Utd,19,1987,3,2,240,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
149,Brett Emerton,au AUS,"DF,MF",Blackburn,27,1979,34,32,"2,929",32.5,0,3,3,0,0,0,5,0,0,0.09,0.09,0,0.09,Matches
150,Michael Essien,gh GHA,"DF,MF",Chelsea,23,1982,33,33,"2,970",33,2,3,5,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,Matches
151,Matthew Etherington,eng ENG,MF,West Ham,24,1981,27,24,"2,024",22.5,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
152,Jason Euell,jm JAM,"FW,MF",Middlesbrough,29,1977,17,9,795,8.8,0,2,2,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
153,Patrice Evra,fr FRA,DF,Manchester Utd,25,1981,24,22,"1,859",20.7,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,Matches
154,Cesc Fàbregas,es ESP,"FW,MF",Arsenal,19,1987,38,34,"3,180",35.3,2,11,13,2,0,0,7,0,0.06,0.31,0.37,0.06,0.37,Matches
155,Dong Fangzhuo,cn CHN,FW,Manchester Utd,21,1985,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Ahmed Fathy,eg EGY,"DF,MF",Sheffield Utd,21,1984,3,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Abdoulaye Faye,sn SEN,"DF,MF",Bolton,28,1978,32,29,"2,521",28,2,0,2,2,0,0,9,0,0.07,0,0.07,0.07,0.07,Matches
158,Amdy Faye,sn SEN,"DF,MF",Charlton Ath,29,1977,27,25,"2,086",23.2,1,0,1,1,0,0,6,0,0.04,0,0.04,0.04,0.04,Matches
159,Adam Federici,au AUS,GK,Reading,21,1985,2,0,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Anton Ferdinand,eng ENG,DF,West Ham,21,1985,31,31,"2,651",29.5,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
161,Rio Ferdinand,eng ENG,DF,Manchester Utd,27,1978,33,33,"2,926",32.5,1,0,1,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches
162,Manuel Fernandes,pt POR,MF,Portsmouth,20,1986,10,7,594,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Manuel Fernandes,pt POR,MF,Everton,20,1986,9,8,715,7.9,2,1,3,2,0,0,4,0,0.25,0.13,0.38,0.25,0.38,Matches
164,Paulo Ferreira,pt POR,DF,Chelsea,27,1979,24,18,"1,711",19,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
165,John Filan,au AUS,GK,Wigan Athletic,36,1970,10,10,900,10,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
166,Steve Finnan,ie IRL,DF,Liverpool,30,1976,33,32,"2,895",32.2,0,4,4,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
167,Mathieu Flamini,fr FRA,MF,Arsenal,22,1984,20,9,958,10.6,3,1,4,3,0,0,3,0,0.28,0.09,0.38,0.28,0.38,Matches
168,Darren Fletcher,sct SCO,MF,Manchester Utd,22,1984,24,16,"1,428",15.9,3,1,4,3,0,0,0,0,0.19,0.06,0.25,0.19,0.25,Matches
169,Jimmy Floyd Hasselbaink,nl NED,FW,Charlton Ath,34,1972,25,11,"1,107",12.3,2,3,5,2,0,0,3,0,0.16,0.24,0.41,0.16,0.41,Matches
170,Caleb Folan,ie IRL,FW,Wigan Athletic,23,1982,13,8,692,7.7,2,0,2,2,0,0,2,0,0.26,0,0.26,0.26,0.26,Matches
171,Jonathan Fortune,eng ENG,DF,Charlton Ath,25,1980,8,6,641,7.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
172,Quinton Fortune,za RSA,MF,Bolton,29,1977,6,5,423,4.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
173,Ben Foster,eng ENG,GK,Watford,23,1983,29,29,"2,565",28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Robbie Fowler,eng ENG,FW,Liverpool,31,1975,16,6,611,6.8,3,2,5,0,3,3,1,0,0.44,0.29,0.74,0,0.29,Matches
175,Damien Francis,jm JAM,MF,Watford,27,1979,32,28,"2,481",27.6,4,0,4,4,0,0,5,0,0.15,0,0.15,0.15,0.15,Matches
