Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Emmanuel Adebayor,tg TOG,FW,Arsenal,22,1984,29,21,"1,985",22.1,8,3,11,7,1,1,2,0,0.36,0.14,0.5,0.32,0.45,Matches
2,Didier Agathe,fr FRA,"DF,FW",Aston Villa,30,1975,5,0,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,19,1986,38,37,"3,325",36.9,9,4,13,9,0,0,2,0,0.24,0.11,0.35,0.24,0.35,Matches
4,Daniel Agger,dk DEN,DF,Liverpool,21,1984,28,24,"2,253",25,2,2,4,2,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
5,Julius Aghahowa,ng NGA,FW,Wigan Athletic,24,1982,6,3,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Yakubu Aiyegbeni,ng NGA,FW,Middlesbrough,23,1982,37,36,"3,164",35.2,12,4,16,8,4,5,3,0,0.34,0.11,0.46,0.23,0.34,Matches
7,Ade Akinbiyi,ng NGA,FW,Sheffield Utd,31,1974,3,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,23,1983,11,4,422,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Manuel Almunia,es ESP,GK,Arsenal,29,1977,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Xabi Alonso,es ESP,MF,Liverpool,24,1981,32,29,"2,661",29.6,4,1,5,3,1,1,9,0,0.14,0.03,0.17,0.1,0.14,Matches
11,Darren Ambrose,eng ENG,"FW,MF",Charlton Ath,22,1984,26,21,"1,752",19.5,3,1,4,3,0,0,1,0,0.15,0.05,0.21,0.15,0.21,Matches
12,Shola Ameobi,ng NGA,FW,Newcastle Utd,24,1981,12,9,760,8.4,3,1,4,2,1,1,1,0,0.36,0.12,0.47,0.24,0.36,Matches
13,Nicolas Anelka,fr FRA,FW,Bolton,27,1979,35,35,"3,016",33.5,11,5,16,11,0,0,0,0,0.33,0.15,0.48,0.33,0.48,Matches
14,Victor Anichebe,ng NGA,FW,Everton,18,1988,19,5,616,6.8,3,1,4,3,0,0,6,0,0.44,0.15,0.58,0.44,0.58,Matches
15,Álvaro Arbeloa,es ESP,DF,Liverpool,23,1983,9,8,705,7.8,1,1,2,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,Matches
16,Julio Arca,ar ARG,"DF,MF",Middlesbrough,25,1981,21,18,"1,539",17.1,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches
17,Chris Armstrong,eng ENG,"DF,MF",Sheffield Utd,23,1982,27,24,"2,212",24.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
18,John Arne Riise,no NOR,"DF,MF",Liverpool,25,1980,33,29,"2,580",28.7,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches
19,Mikel Arteta,es ESP,MF,Everton,24,1982,35,35,"3,137",34.9,9,9,18,4,5,5,9,0,0.26,0.26,0.52,0.11,0.37,Matches
20,Moses Ashikodi,ag ATG,FW,Watford,19,1987,2,0,23,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,22,1984,16,16,"1,396",15.5,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
22,Fábio Aurélio,br BRA,"DF,MF",Liverpool,26,1979,17,10,"1,011",11.2,0,3,3,0,0,0,1,0,0,0.27,0.27,0,0.27,Matches
23,Cédric Avinel,gp GLP,DF,Watford,19,1986,1,1,46,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
24,Celestine Babayaro,ng NGA,"DF,MF",Newcastle Utd,27,1978,12,12,"1,036",11.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
25,Leighton Baines,eng ENG,DF,Wigan Athletic,21,1984,35,35,"3,117",34.6,3,0,3,2,1,1,8,0,0.09,0,0.09,0.06,0.06,Matches
26,Michael Ball,eng ENG,DF,Manchester City,26,1979,12,12,"1,076",12,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
27,Michael Ballack,de GER,MF,Chelsea,29,1976,26,23,"2,016",22.4,4,1,5,4,0,0,7,1,0.18,0.04,0.22,0.18,0.22,Matches
28,Al Bangura,sl SLE,MF,Watford,18,1988,16,12,"1,085",12.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
29,Júlio Baptista,br BRA,"FW,MF",Arsenal,24,1981,24,11,"1,131",12.6,3,2,5,3,0,0,0,0,0.24,0.16,0.4,0.24,0.4,Matches
30,Phil Bardsley,sct SCO,DF,Aston Villa,21,1985,13,13,"1,147",12.7,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
31,Milan Baroš,cz CZE,FW,Aston Villa,24,1981,17,10,875,9.7,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Matches
32,Gareth Barry,eng ENG,MF,Aston Villa,25,1981,35,35,"3,120",34.7,8,4,12,3,5,6,7,1,0.23,0.12,0.35,0.09,0.2,Matches
33,Joey Barton,eng ENG,MF,Manchester City,23,1982,33,33,"2,967",33,6,4,10,5,1,2,10,1,0.18,0.12,0.3,0.15,0.27,Matches
34,Matthew Bates,eng ENG,DF,Middlesbrough,19,1986,1,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,DaMarcus Beasley,us USA,"DF,FW",Manchester City,24,1982,18,11,"1,026",11.4,3,1,4,3,0,0,1,0,0.26,0.09,0.35,0.26,0.35,Matches
36,James Beattie,eng ENG,FW,Everton,28,1978,33,15,"1,459",16.2,2,3,5,0,2,2,4,0,0.12,0.19,0.31,0,0.19,Matches
37,Craig Bellamy,wls WAL,FW,Liverpool,27,1979,27,23,"1,916",21.3,7,2,9,7,0,0,2,0,0.33,0.09,0.42,0.33,0.42,Matches
38,Emre Belözoğlu,tr TUR,MF,Newcastle Utd,25,1980,24,21,"1,825",20.3,2,2,4,1,1,1,6,0,0.1,0.1,0.2,0.05,0.15,Matches
