Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Gary Ablett,eng ENG,DF,Everton,27,1965,32,32,"2,880",32,1,3,4,1,0,0,3,0,0.03,0.09,0.12,0.03,0.12,Matches
2,Micky Adams,eng ENG,DF,Southampton,31,1961,19,17,"1,518",16.9,0,4,4,0,0,0,2,0,0,0.24,0.24,0,0.24,Matches
3,Neil Adams,eng ENG,MF,Norwich City,27,1965,14,11,968,10.8,0,4,4,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
4,Neil Adams,eng ENG,MF,Oldham Athletic,27,1965,13,7,770,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Tony Adams,eng ENG,DF,Arsenal,26,1966,35,35,"3,108",34.5,0,2,2,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
6,Jan Åge Fjørtoft,no NOR,FW,Swindon Town,26,1967,36,26,"2,300",25.6,12,1,13,10,2,2,2,0,0.47,0.04,0.51,0.39,0.43,Matches
7,Ade Akinbiyi,ng NGA,FW,Norwich City,18,1974,2,0,58,0.6,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
8,Bradley Allen,eng ENG,FW,QPR,21,1971,21,14,"1,389",15.4,7,1,8,7,0,0,0,0,0.45,0.06,0.52,0.45,0.52,Matches
9,Clive Allen,eng ENG,FW,West Ham,32,1961,7,7,685,7.6,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
10,Malcolm Allen,wls WAL,FW,Newcastle Utd,26,1967,9,9,758,8.4,5,2,7,3,2,2,0,0,0.59,0.24,0.83,0.36,0.59,Matches
11,Martin Allen,eng ENG,MF,West Ham,27,1965,26,20,"1,718",19.1,6,2,8,6,0,0,4,0,0.31,0.1,0.42,0.31,0.42,Matches
12,Paul Allen,eng ENG,MF,Southampton,30,1962,32,29,"2,665",29.6,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,Matches
13,Paul Allen,eng ENG,MF,Tottenham,30,1962,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Patrik Andersson,se SWE,DF,Blackburn,21,1971,1,1,61,0.7,0,0,0,0,0,,1,0,0,0,0,0,0,Matches
15,Darren Anderton,eng ENG,MF,Tottenham,21,1972,37,35,"3,071",34.1,6,6,12,6,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matches
16,Ian Andrews,eng ENG,GK,Southampton,28,1964,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Brett Angell,eng ENG,FW,Everton,24,1968,16,13,"1,153",12.8,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches
18,Matty Appleby,eng ENG,MF,Newcastle Utd,21,1972,1,1,90,1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
19,Neal Ardley,eng ENG,MF,Wimbledon,20,1972,16,14,"1,329",14.8,1,0,1,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
20,Peter Atherton,eng ENG,"DF,MF",Coventry City,23,1970,40,39,"3,519",39.1,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
21,Mark Atkins,eng ENG,"DF,MF",Blackburn,24,1968,15,8,928,10.3,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,Matches
