Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Adams,eng ENG,DF,Arsenal,32,1966,21,21,"1,890",21,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
2,Gareth Ainsworth,eng ENG,MF,Wimbledon,26,1973,2,0,63,0.7,2,0,2,2,0,0,1,0,2.86,0,2.86,2.86,2.86,Matches
3,Niclas Alexandersson,se SWE,MF,Sheffield Weds,27,1971,37,37,"3,108",34.5,5,4,9,5,0,0,2,0,0.14,0.12,0.26,0.14,0.26,Matches
4,Marco Almeida,pt POR,DF,Southampton,22,1977,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,John Aloisi,au AUS,FW,Coventry City,23,1976,7,3,275,3.1,2,0,2,2,0,0,1,0,0.65,0,0.65,0.65,0.65,Matches
6,Gabriele Ambrosetti,it ITA,MF,Chelsea,25,1973,16,9,736,8.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
7,Trond Andersen,no NOR,DF,Wimbledon,24,1975,36,35,"3,087",34.3,0,3,3,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
8,Darren Anderton,eng ENG,MF,Tottenham,27,1972,22,22,"1,968",21.9,3,5,8,2,1,1,5,0,0.14,0.23,0.37,0.09,0.32,Matches
9,Tore André Flo,no NOR,FW,Chelsea,26,1973,34,20,"1,904",21.2,10,1,11,10,0,0,1,0,0.47,0.05,0.52,0.47,0.52,Matches
10,Martin Andresen,no NOR,"FW,MF",Wimbledon,22,1977,14,4,511,5.7,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
11,Tomas Antonelius,se SWE,DF,Coventry City,26,1973,10,7,635,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Neal Ardley,eng ENG,MF,Wimbledon,26,1972,17,10,"1,001",11.1,2,1,3,1,1,1,4,0,0.18,0.09,0.27,0.09,0.18,Matches
13,Alun Armstrong,eng ENG,FW,Middlesbrough,24,1975,12,3,341,3.8,1,0,1,1,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
14,Chris Armstrong,eng ENG,FW,Tottenham,28,1971,31,29,"2,513",27.9,14,1,15,14,0,0,4,0,0.5,0.04,0.54,0.5,0.54,Matches
15,Pegguy Arphexad,fr FRA,GK,Leicester City,26,1973,11,9,973,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,29,1970,35,35,"3,134",34.8,1,0,1,1,0,0,5,0,0.03,0,0.03,0.03,0.03,Matches
17,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,20,1978,25,23,"2,057",22.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
18,Walid Badir,il ISR,"DF,MF",Wimbledon,25,1974,21,12,"1,054",11.7,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
19,Francesco Baiano,it ITA,FW,Derby County,31,1968,9,5,456,5.1,0,2,2,0,0,0,1,0,0,0.39,0.39,0,0.39,Matches
20,Adrian Bakalli,be BEL,MF,Watford,22,1976,2,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Eirik Bakke,no NOR,MF,Leeds United,21,1977,29,24,"2,229",24.8,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches
22,Kevin Ball,eng ENG,"DF,MF",Sunderland,34,1964,11,6,514,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Michael Ball,eng ENG,DF,Everton,19,1979,25,14,"1,439",16,1,0,1,0,1,1,3,0,0.06,0,0.06,0,0,Matches
24,Nick Barmby,eng ENG,"FW,MF",Everton,25,1974,37,37,"3,097",34.4,9,8,17,9,0,0,7,0,0.26,0.23,0.49,0.26,0.49,Matches
25,Graham Barrett,ie IRL,FW,Arsenal,17,1981,2,0,10,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
26,Gareth Barry,eng ENG,MF,Aston Villa,18,1981,30,30,"2,700",30,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches
27,Warren Barton,eng ENG,DF,Newcastle Utd,30,1969,34,33,"2,871",31.9,0,3,3,0,0,0,5,1,0,0.09,0.09,0,0.09,Matches
28,David Batty,eng ENG,MF,Leeds United,30,1968,16,16,"1,380",15.3,0,3,3,0,0,0,4,0,0,0.2,0.2,0,0.2,Matches
29,Peter Beagrie,eng ENG,FW,Bradford City,33,1965,35,30,"2,760",30.7,7,5,12,2,5,5,5,0,0.23,0.16,0.39,0.07,0.23,Matches
30,James Beattie,eng ENG,FW,Southampton,21,1978,17,8,674,7.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
31,Mikkel Beck,dk DEN,FW,Derby County,26,1973,11,5,541,6,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
32,David Beckham,eng ENG,MF,Manchester Utd,24,1975,31,30,"2,605",28.9,6,15,21,6,0,0,6,0,0.21,0.52,0.73,0.21,0.73,Matches
33,David Beharall,eng ENG,DF,Newcastle Utd,20,1979,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Francis Benali,eng ENG,DF,Southampton,30,1968,26,25,"2,249",25,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
35,John Beresford,eng ENG,DF,Southampton,32,1966,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Marlon Beresford,eng ENG,GK,Middlesbrough,29,1969,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Henning Berg,no NOR,DF,Manchester Utd,29,1969,22,16,"1,635",18.2,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
38,Patrik Berger,cz CZE,MF,Liverpool,25,1973,34,34,"2,902",32.2,9,3,12,8,1,1,2,0,0.28,0.09,0.37,0.25,0.34,Matches
39,Dennis Bergkamp,nl NED,FW,Arsenal,30,1969,28,23,"1,874",20.8,6,9,15,6,0,0,6,0,0.29,0.43,0.72,0.29,0.72,Matches
40,Robert Betts,eng ENG,MF,Coventry City,17,1981,2,0,20,0.2,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
41,Jon Bewers,eng ENG,"DF,MF",Aston Villa,16,1982,1,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
42,Jóhann Birnir Guðmundsson,is ISL,MF,Watford,21,1977,9,1,248,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
43,Tommy Black,eng ENG,MF,Arsenal,19,1979,1,0,5,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
44,Dean Blackwell,eng ENG,DF,Wimbledon,29,1969,17,16,"1,406",15.6,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
45,Robbie Blake,eng ENG,"FW,MF",Bradford City,23,1976,28,15,"1,660",18.4,2,1,3,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches
46,Luís Boa Morte,pt POR,"FW,MF",Arsenal,21,1977,2,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Luís Boa Morte,pt POR,"FW,MF",Southampton,21,1977,14,6,553,6.1,1,1,2,1,0,0,1,1,0.16,0.16,0.33,0.16,0.33,Matches
48,George Boateng,nl NED,MF,Aston Villa,23,1975,33,30,"2,488",27.6,2,0,2,2,0,0,9,0,0.07,0,0.07,0.07,0.07,Matches
49,Paul Boertien,eng ENG,DF,Derby County,20,1979,2,0,78,0.9,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
50,Lars Bohinen,no NOR,MF,Derby County,29,1969,13,8,653,7.3,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
51,Alexandre Bonnot,fr FRA,MF,Watford,26,1973,12,7,625,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Andy Booth,eng ENG,FW,Sheffield Weds,25,1973,23,20,"1,752",19.5,2,3,5,2,0,0,3,0,0.1,0.15,0.26,0.1,0.26,Matches
53,Vassilios Borbokis,gr GRE,DF,Derby County,30,1969,12,6,660,7.3,0,1,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
54,Mark Bosnich,au AUS,GK,Manchester Utd,27,1972,23,23,"1,875",20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Steve Bould,eng ENG,DF,Sunderland,36,1962,20,19,"1,675",18.6,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
56,Lee Bowyer,eng ENG,MF,Leeds United,22,1977,33,31,"2,768",30.8,5,2,7,5,0,0,13,0,0.16,0.07,0.23,0.16,0.23,Matches
57,Shayne Bradley,eng ENG,FW,Southampton,19,1979,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Gary Breen,ie IRL,DF,Coventry City,25,1973,21,20,"1,816",20.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
59,Wayne Bridge,eng ENG,DF,Southampton,18,1980,18,15,"1,445",16.1,1,2,3,1,0,0,0,0,0.06,0.12,0.19,0.06,0.19,Matches
60,Michael Bridges,eng ENG,"FW,MF",Leeds United,20,1978,34,32,"2,357",26.2,19,4,23,19,0,0,6,0,0.73,0.15,0.88,0.73,0.88,Matches
61,Lee Briscoe,eng ENG,"DF,MF",Sheffield Weds,23,1975,16,7,727,8.1,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
62,Steve Brooker,eng ENG,FW,Watford,18,1981,1,0,6,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
63,Craig Burley,sct SCO,MF,Derby County,27,1971,18,18,"1,594",17.7,5,1,6,3,2,3,1,0,0.28,0.06,0.34,0.17,0.23,Matches
64,David Burrows,eng ENG,DF,Coventry City,30,1968,15,11,"1,010",11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
65,Deon Burton,jm JAM,FW,Derby County,22,1976,19,15,"1,259",14,4,2,6,4,0,0,6,0,0.29,0.14,0.43,0.29,0.43,Matches
66,Paul Butler,ie IRL,DF,Sunderland,26,1972,32,31,"2,788",31,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches
67,Thomas Butler,ie IRL,MF,Sunderland,18,1981,1,0,7,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
68,Nicky Butt,eng ENG,"DF,MF",Manchester Utd,24,1975,32,21,"1,870",20.8,3,3,6,3,0,0,2,2,0.14,0.14,0.29,0.14,0.29,Matches
69,Shaun Byrne,ie IRL,"DF,MF",West Ham,18,1981,1,0,12,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
70,Stephen Bywater,eng ENG,GK,West Ham,18,1981,4,3,358,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Danny Cadamarteri,eng ENG,FW,Everton,19,1979,17,3,534,5.9,1,2,3,1,0,0,2,0,0.17,0.34,0.51,0.17,0.51,Matches
72,Jorge Cadete,pt POR,FW,Bradford City,30,1968,7,2,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Colin Calderwood,sct SCO,DF,Aston Villa,34,1965,18,15,"1,373",15.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
74,Titi Camara,gn GUI,FW,Liverpool,26,1972,33,22,"1,977",22,9,1,10,9,0,0,6,0,0.41,0.05,0.46,0.41,0.46,Matches
75,Andy Campbell,eng ENG,FW,Middlesbrough,20,1979,25,16,"1,510",16.8,4,2,6,4,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches
76,Kevin Campbell,eng ENG,FW,Everton,29,1970,26,26,"2,340",26,12,6,18,12,0,0,2,0,0.46,0.23,0.69,0.46,0.69,Matches
77,Sol Campbell,eng ENG,"DF,FW",Tottenham,24,1974,29,29,"2,530",28.1,0,3,3,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
78,Stuart Campbell,sct SCO,MF,Leicester City,21,1977,4,1,182,2,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
79,Horacio Carbonari,ar ARG,DF,Derby County,25,1974,29,29,"2,555",28.4,2,0,2,2,0,0,10,0,0.07,0,0.07,0.07,0.07,Matches
80,Benito Carbone,it ITA,FW,Aston Villa,27,1971,29,24,"1,861",20.7,3,5,8,3,0,0,1,0,0.15,0.24,0.39,0.15,0.39,Matches
81,Benito Carbone,it ITA,FW,Sheffield Weds,27,1971,7,3,417,4.6,2,0,2,1,1,1,0,0,0.43,0,0.43,0.22,0.22,Matches
82,Stephen Carr,ie IRL,DF,Tottenham,22,1976,34,34,"3,060",34,3,3,6,3,0,0,6,0,0.09,0.09,0.18,0.09,0.18,Matches
83,Jamie Carragher,eng ENG,"DF,MF",Liverpool,21,1978,36,33,"2,987",33.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
84,Michael Carrick,eng ENG,MF,West Ham,18,1981,8,4,457,5.1,1,2,3,1,0,0,0,0,0.2,0.39,0.59,0.2,0.59,Matches
85,Alec Chamberlain,eng ENG,GK,Watford,35,1964,27,27,"2,430",27,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Gary Charles,eng ENG,DF,West Ham,29,1970,4,2,192,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Laurent Charvet,fr FRA,DF,Newcastle Utd,26,1973,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Youssef Chippo,ma MAR,MF,Coventry City,26,1973,33,33,"2,783",30.9,2,3,5,2,0,0,9,1,0.06,0.1,0.16,0.06,0.16,Matches
89,Malcolm Christie,eng ENG,FW,Derby County,20,1979,21,10,"1,175",13.1,5,2,7,5,0,0,2,0,0.38,0.15,0.54,0.38,0.54,Matches
90,Matt Clarke,eng ENG,GK,Bradford City,25,1973,21,21,"1,874",20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Michael Clegg,eng ENG,DF,Manchester Utd,22,1977,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Alec Cleland,sct SCO,DF,Everton,28,1970,9,3,347,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
