Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Clarence Acuña,cl CHI,MF,Newcastle Utd,26,1975,16,10,978,10.9,3,0,3,3,0,0,3,0,0.28,0,0.28,0.28,0.28,Matches
2,Tony Adams,eng ENG,DF,Arsenal,34,1966,10,10,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Ade Akinbiyi,ng NGA,FW,Leicester City,26,1974,21,16,"1,528",17,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches
4,Niclas Alexandersson,se SWE,MF,Everton,29,1971,31,28,"2,365",26.3,2,4,6,2,0,0,1,0,0.08,0.15,0.23,0.08,0.23,Matches
5,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,18,1983,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Darren Ambrose,eng ENG,"FW,MF",Ipswich Town,17,1984,1,0,6,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
7,Shola Ameobi,ng NGA,FW,Newcastle Utd,19,1981,15,4,351,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Darren Anderton,eng ENG,MF,Tottenham,29,1972,35,33,"2,928",32.5,3,5,8,3,0,0,1,0,0.09,0.15,0.25,0.09,0.25,Matches
9,Nicolas Anelka,fr FRA,FW,Liverpool,22,1979,20,13,"1,263",14,4,2,6,4,0,0,0,0,0.29,0.14,0.43,0.29,0.43,Matches
10,Julio Arca,ar ARG,"DF,MF",Sunderland,20,1981,22,20,"1,758",19.5,1,4,5,1,0,0,3,0,0.05,0.2,0.26,0.05,0.26,Matches
11,Alun Armstrong,eng ENG,FW,Ipswich Town,26,1975,32,21,"1,714",19,4,0,4,4,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
12,John Arne Riise,no NOR,"DF,MF",Liverpool,20,1980,38,34,"3,128",34.8,7,3,10,7,0,0,1,0,0.2,0.09,0.29,0.2,0.29,Matches
13,Pegguy Arphexad,fr FRA,GK,Liverpool,28,1973,2,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Jon Ashton,eng ENG,DF,Leicester City,18,1982,7,3,344,3.8,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
15,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,22,1978,18,18,"1,539",17.1,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
16,Markus Babbel,de GER,DF,Liverpool,28,1972,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Eirik Bakke,no NOR,MF,Leeds United,23,1977,27,20,"1,951",21.7,2,1,3,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,Matches
18,Boško Balaban,hr CRO,FW,Aston Villa,22,1978,5,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Steve Banks,eng ENG,GK,Bolton,29,1972,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Nick Barmby,eng ENG,"FW,MF",Liverpool,27,1974,6,2,213,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Anthony Barness,eng ENG,DF,Bolton,28,1973,25,19,"1,788",19.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Gareth Barry,eng ENG,MF,Aston Villa,20,1981,20,16,"1,430",15.9,0,3,3,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches
23,Chris Bart-Williams,eng ENG,"DF,MF",Charlton Ath,27,1974,16,10,914,10.2,1,2,3,1,0,0,2,0,0.1,0.2,0.3,0.1,0.3,Matches
24,Fabien Barthez,fr FRA,GK,Manchester Utd,30,1971,32,32,"2,892",32.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
25,Shaun Bartlett,za RSA,FW,Charlton Ath,28,1972,14,10,765,8.5,2,0,2,2,0,0,2,0,0.24,0,0.24,0.24,0.24,Matches
26,Warren Barton,eng ENG,DF,Derby County,32,1969,14,14,"1,260",14,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
27,Warren Barton,eng ENG,DF,Newcastle Utd,32,1969,5,4,358,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
28,Christian Bassedas,ar ARG,"DF,MF",Newcastle Utd,28,1973,2,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
