Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
228,Reece James,eng ENG,DF,Chelsea,21,1999,26,22,"1,864",20.7,5,9,14,5,0,0,4,1,3.1,3.1,5.9,9.1,52,149,203,0.24,0.43,0.68,0.24,0.68,0.15,0.29,0.44,0.15,0.44,Matches
229,Vitaly Janelt,de GER,MF,Brentford,23,1998,31,27,"2,298",25.5,4,0,4,4,0,0,3,0,2.4,2.4,1.9,4.2,25,103,60,0.16,0,0.16,0.16,0.16,0.09,0.07,0.17,0.09,0.17,Matches
230,Pontus Jansson,se SWE,DF,Brentford,30,1991,37,37,"3,321",36.9,3,1,4,3,0,0,7,0,3,3,0.3,3.3,4,67,5,0.08,0.03,0.11,0.08,0.11,0.08,0.01,0.09,0.08,0.09,Matches
231,Mathias Jensen,dk DEN,MF,Brentford,25,1996,31,19,"1,601",17.8,0,1,1,0,0,0,0,0,2.9,2.9,3.2,6.2,14,103,54,0,0.06,0.06,0,0.06,0.17,0.18,0.35,0.17,0.35,Matches
232,Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,21,"1,877",20.9,8,8,16,7,1,1,1,0,9.8,9,5.7,14.7,51,55,220,0.38,0.38,0.77,0.34,0.72,0.47,0.28,0.74,0.43,0.71,Matches
233,Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,30,"2,631",29.2,6,4,10,5,1,1,9,2,6.1,5.4,3.1,8.5,40,65,163,0.21,0.14,0.34,0.17,0.31,0.21,0.1,0.31,0.19,0.29,Matches
234,João Pedro,br BRA,"FW,MF",Watford,19,2001,28,15,"1,644",18.3,3,1,4,3,0,0,1,0,3.6,3.6,2.8,6.3,54,77,102,0.16,0.05,0.22,0.16,0.22,0.2,0.15,0.35,0.2,0.35,Matches
235,Joelinton,br BRA,"MF,FW",Newcastle Utd,24,1996,35,30,"2,558",28.4,4,1,5,4,0,0,8,0,3.3,3.3,1.9,5.2,45,92,90,0.14,0.04,0.18,0.14,0.18,0.12,0.07,0.18,0.12,0.18,Matches
236,Ben Johnson,eng ENG,DF,West Ham,21,2000,20,16,"1,397",15.5,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.7,23,64,67,0.06,0,0.06,0.06,0.06,0.01,0.04,0.05,0.01,0.05,Matches
237,Curtis Jones,eng ENG,MF,Liverpool,20,2001,15,10,851,9.5,1,1,2,1,0,0,0,0,0.9,0.9,0.6,1.5,25,58,54,0.11,0.11,0.21,0.11,0.21,0.1,0.07,0.16,0.1,0.16,Matches
238,Phil Jones,eng ENG,DF,Manchester Utd,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Jorginho,it ITA,MF,Chelsea,29,1991,29,26,"2,273",25.3,6,2,8,0,6,7,5,0,5.8,0.3,2.7,3,18,178,19,0.24,0.08,0.32,0,0.08,0.23,0.11,0.34,0.01,0.12,Matches
240,Diogo Jota,pt POR,FW,Liverpool,24,1996,35,27,"2,364",26.3,15,4,19,15,0,0,3,0,16.3,16.3,5.8,22,74,87,191,0.57,0.15,0.72,0.57,0.72,0.62,0.22,0.84,0.62,0.84,Matches
241,James Justin,eng ENG,DF,Leicester City,23,1998,13,11,998,11.1,0,0,0,0,0,0,0,0,0.3,0.3,1,1.3,23,44,52,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12,Matches
242,Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,8,6,518,5.8,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,5,18,1,0.17,0,0.17,0.17,0.17,0.02,0.05,0.07,0.02,0.07,Matches
243,Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11,11,922,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,9,20,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
244,Christian Kabasele,be BEL,DF,Watford,30,1991,16,12,"1,193",13.3,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,5,21,1,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,Matches
245,Samuel Kalu,ng NGA,FW,Watford,23,1997,4,2,222,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,7,8,18,0,0,0,0,0,0.16,0.04,0.2,0.16,0.2,Matches
246,Hassane Kamara,ci CIV,DF,Watford,27,1994,19,18,"1,623",18,1,0,1,1,0,0,5,1,0.2,0.2,0.6,0.8,32,55,25,0.06,0,0.06,0.06,0.06,0.01,0.03,0.04,0.01,0.04,Matches
247,Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,"3,232",35.9,17,9,26,13,4,4,5,0,18.6,15.4,9.1,24.5,87,143,212,0.47,0.25,0.72,0.36,0.61,0.52,0.25,0.77,0.43,0.68,Matches
248,N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26,21,"1,773",19.7,2,4,6,2,0,0,2,0,1.5,1.5,2.1,3.6,72,159,62,0.1,0.2,0.3,0.1,0.3,0.08,0.11,0.19,0.08,0.19,Matches
249,Edo Kayembe,cd COD,MF,Watford,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,9,47,8,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches
250,Moise Kean,it ITA,FW,Everton,21,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Michael Keane,eng ENG,DF,Everton,28,1993,32,31,"2,792",31,3,2,5,3,0,0,4,1,1.2,1.2,1.6,2.8,9,79,4,0.1,0.06,0.16,0.1,0.16,0.04,0.05,0.09,0.04,0.09,Matches
