Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Yakubu Aiyegbeni,ng NGA,FW,Portsmouth,20,1982,37,35,"3,124",34.7,16,3,19,14,2,2,2,0,0.46,0.09,0.55,0.4,0.49,Matches
2,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,20,1983,10,3,260,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Marcus Allbäck,se SWE,FW,Aston Villa,30,1973,15,7,752,8.4,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
4,Darren Ambrose,eng ENG,"FW,MF",Newcastle Utd,19,1984,24,10,960,10.7,2,2,4,2,0,0,3,0,0.19,0.19,0.37,0.19,0.37,Matches
5,Marco Ambrosio,it ITA,GK,Chelsea,30,1973,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Shola Ameobi,ng NGA,FW,Newcastle Utd,21,1981,26,18,"1,556",17.3,7,2,9,7,0,0,0,0,0.4,0.12,0.52,0.4,0.52,Matches
7,Lorenzo Amoruso,it ITA,DF,Blackburn,32,1971,12,11,991,11,3,0,3,3,0,0,3,0,0.27,0,0.27,0.27,0.27,Matches
8,Darren Anderton,eng ENG,MF,Tottenham,31,1972,20,16,"1,435",15.9,1,4,5,1,0,0,4,0,0.06,0.25,0.31,0.06,0.31,Matches
9,Martin Andresen,no NOR,"FW,MF",Blackburn,26,1977,11,11,861,9.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
10,Keith Andrews,ie IRL,MF,Wolves,22,1980,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Nicolas Anelka,fr FRA,FW,Manchester City,24,1979,32,31,"2,737",30.4,16,4,20,12,4,4,1,1,0.53,0.13,0.66,0.39,0.53,Matches
12,José Antonio Reyes,es ESP,MF,Arsenal,19,1983,13,7,655,7.3,2,1,3,2,0,0,0,0,0.27,0.14,0.41,0.27,0.41,Matches
13,John Arne Riise,no NOR,"DF,MF",Liverpool,22,1980,28,22,"2,133",23.7,0,4,4,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
14,Ibrahim Ba,fr FRA,MF,Bolton,29,1973,9,0,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,24,1978,6,5,440,4.9,1,2,3,1,0,0,0,0,0.2,0.41,0.61,0.2,0.61,Matches
16,Markus Babbel,de GER,DF,Blackburn,30,1972,25,23,"2,036",22.6,3,3,6,3,0,0,2,0,0.13,0.13,0.27,0.13,0.27,Matches
17,Dino Baggio,it ITA,MF,Blackburn,32,1971,9,0,161,1.8,1,0,1,1,0,0,1,0,0.56,0,0.56,0.56,0.56,Matches
18,Chris Baird,nir NIR,"DF,MF",Southampton,21,1982,4,1,192,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
19,Eirik Bakke,no NOR,MF,Leeds United,25,1977,9,8,686,7.6,1,0,1,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
20,Nick Barmby,eng ENG,"FW,MF",Leeds United,29,1974,6,1,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Anthony Barness,eng ENG,DF,Bolton,30,1973,15,11,984,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
