Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Charlie Adam,sct SCO,MF,Stoke City,27,1985,31,20,"1,756",19.5,8,4,12,7,1,1,6,0,0.41,0.21,0.62,0.36,0.56,Matches
2,Emmanuel Adebayor,tg TOG,FW,Tottenham,29,1984,21,20,"1,805",20.1,11,4,15,10,1,2,0,0,0.55,0.2,0.75,0.5,0.7,Matches
3,Adrián,es ESP,GK,West Ham,26,1987,20,20,"1,800",20,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
4,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,26,1986,30,29,"2,439",27.1,4,5,9,4,0,0,7,0,0.15,0.18,0.33,0.15,0.33,Matches
5,Daniel Agger,dk DEN,DF,Liverpool,28,1984,20,16,"1,421",15.8,2,1,3,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,25,1988,23,20,"1,528",17,17,6,23,17,0,1,4,0,1,0.35,1.35,1,1.35,Matches
7,Karim El Ahmadi,ma MAR,MF,Aston Villa,28,1985,31,26,"2,177",24.2,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches
8,Nathan Aké,nl NED,"DF,MF",Chelsea,18,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Chuba Akpom,eng ENG,"FW,MF",Arsenal,17,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Luis Alberto,es ESP,"FW,MF",Liverpool,20,1992,9,0,144,1.6,0,1,1,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,23,1989,19,9,973,10.8,0,4,4,0,0,0,4,0,0,0.37,0.37,0,0.37,Matches
12,Antolín Alcaraz,py PAR,DF,Everton,31,1982,6,5,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Joe Allen,wls WAL,MF,Liverpool,23,1990,24,15,"1,443",16,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
14,Marcos Alonso,es ESP,"DF,MF",Sunderland,22,1990,16,16,"1,440",16,0,1,1,0,0,0,5,1,0,0.06,0.06,0,0.06,Matches
15,Jozy Altidore,us USA,FW,Sunderland,23,1989,31,19,"1,783",19.8,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches
16,Sone Aluko,ng NGA,"FW,MF",Hull City,24,1989,17,10,933,10.4,1,3,4,1,0,0,1,0,0.1,0.29,0.39,0.1,0.39,Matches
