Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Wigan Athletic,20,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Charlie Adam,sct SCO,MF,Liverpool,25,1985,28,27,"2,167",24.1,2,6,8,1,1,2,6,1,0.08,0.25,0.33,0.04,0.29,Matches
3,Emmanuel Adebayor,tg TOG,FW,Tottenham,27,1984,33,32,"2,827",31.4,17,11,28,14,3,4,3,0,0.54,0.35,0.89,0.45,0.8,Matches
4,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,24,1986,33,32,"2,762",30.7,5,5,10,5,0,0,6,0,0.16,0.16,0.33,0.16,0.33,Matches
5,Daniel Agger,dk DEN,DF,Liverpool,26,1984,27,24,"2,140",23.8,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,23,1988,34,31,"2,575",28.6,23,8,31,20,3,3,2,0,0.8,0.28,1.08,0.7,0.98,Matches
7,Kemy Agustien,cw CUW,"DF,MF",Swansea City,24,1986,13,7,713,7.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
8,Patrick Agyemang,gh GHA,FW,QPR,30,1980,2,2,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Yakubu Aiyegbeni,ng NGA,FW,Blackburn,28,1982,30,29,"2,442",27.1,17,2,19,13,4,5,1,1,0.63,0.07,0.7,0.48,0.55,Matches
10,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,21,1989,26,15,"1,498",16.6,2,2,4,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches
11,Antolín Alcaraz,py PAR,DF,Wigan Athletic,29,1982,25,25,"2,172",24.1,2,0,2,2,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
12,Alex,br BRA,DF,Chelsea,29,1982,3,3,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Joe Allen,wls WAL,MF,Swansea City,21,1990,36,31,"2,895",32.2,4,2,6,4,0,0,3,1,0.12,0.06,0.19,0.12,0.19,Matches
14,Marcos Alonso,es ESP,"DF,MF",Bolton,20,1990,5,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
15,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,19,1992,10,1,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Shola Ameobi,ng NGA,FW,Newcastle Utd,29,1981,27,8,"1,023",11.4,2,5,7,2,0,0,3,0,0.18,0.44,0.62,0.18,0.62,Matches
17,Ben Amos,eng ENG,GK,Manchester Utd,21,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Anderson,br BRA,MF,Manchester Utd,23,1988,10,8,690,7.7,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
19,Bruno Andrade,pt POR,"FW,MF",QPR,17,1993,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Keith Andrews,ie IRL,MF,West Brom,30,1980,14,8,789,8.8,2,1,3,2,0,0,2,0,0.23,0.11,0.34,0.23,0.34,Matches
21,Nicolas Anelka,fr FRA,FW,Chelsea,32,1979,9,3,421,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,Matches
22,Victor Anichebe,ng NGA,FW,Everton,23,1988,12,5,448,5,5,0,5,5,0,0,1,0,1,0,1,1,1,Matches
23,John Arne Riise,no NOR,"DF,MF",Fulham,30,1980,36,35,"3,139",34.9,0,4,4,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
24,Andrey Arshavin,ru RUS,"FW,MF",Arsenal,30,1981,19,8,724,8,1,3,4,1,0,0,1,0,0.12,0.37,0.5,0.12,0.5,Matches
25,Mikel Arteta,es ESP,MF,Arsenal,29,1982,29,29,"2,470",27.4,6,2,8,6,0,0,4,0,0.22,0.07,0.29,0.22,0.29,Matches
26,Mikel Arteta,es ESP,MF,Everton,29,1982,2,1,127,1.4,1,0,1,0,1,1,1,0,0.71,0,0.71,0,0,Matches
27,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,27,1984,34,34,"2,957",32.9,2,4,6,2,0,0,6,0,0.06,0.12,0.18,0.06,0.18,Matches
28,Fábio Aurélio,br BRA,"DF,MF",Liverpool,31,1979,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
