Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tony Adams,eng ENG,DF,Arsenal,29,1966,28,27,"2,254",25,3,1,4,3,0,0,7,2,0.12,0.04,0.16,0.12,0.16,Matches
2,Jan Åge Fjørtoft,no NOR,FW,Middlesbrough,29,1967,5,2,214,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches
3,Steve Agnew,eng ENG,MF,Sunderland,30,1965,15,11,960,10.7,2,0,2,1,1,1,2,0,0.19,0,0.19,0.09,0.09,Matches
4,Sam Aiston,eng ENG,MF,Sunderland,19,1976,2,0,74,0.8,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
5,Philippe Albert,be BEL,DF,Newcastle Utd,28,1967,27,27,"2,407",26.7,2,2,4,2,0,0,8,0,0.07,0.07,0.15,0.07,0.15,Matches
6,Chris Allen,eng ENG,MF,Nott'ham Forest,23,1972,24,16,"1,480",16.4,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
7,Graham Allen,eng ENG,DF,Everton,19,1977,1,0,56,0.6,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
8,Rory Allen,eng ENG,FW,Tottenham,18,1977,12,9,861,9.6,2,0,2,2,0,0,4,0,0.21,0,0.21,0.21,0.21,Matches
9,Darren Anderton,eng ENG,MF,Tottenham,24,1972,16,14,"1,233",13.7,3,2,5,3,0,0,4,0,0.22,0.15,0.36,0.22,0.36,Matches
10,Nicolas Anelka,fr FRA,FW,Arsenal,17,1979,4,0,53,0.6,0,1,1,0,0,,0,0,0,1.7,1.7,0,1.7,Matches
11,Neal Ardley,eng ENG,MF,Wimbledon,23,1972,34,33,"2,907",32.3,2,11,13,2,0,0,1,0,0.06,0.34,0.4,0.06,0.4,Matches
12,Chris Armstrong,eng ENG,FW,Tottenham,25,1971,12,12,974,10.8,5,0,5,4,1,1,2,0,0.46,0,0.46,0.37,0.37,Matches
13,Aljoša Asanović,hr CRO,MF,Derby County,30,1965,34,34,"2,928",32.5,6,3,9,3,3,4,3,0,0.18,0.09,0.28,0.09,0.18,Matches
14,Faustino Asprilla,co COL,FW,Newcastle Utd,26,1969,24,17,"1,477",16.4,4,5,9,4,0,0,5,0,0.24,0.3,0.55,0.24,0.55,Matches
15,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,26,1970,37,37,"3,314",36.8,2,1,3,2,0,0,7,0,0.05,0.03,0.08,0.05,0.08,Matches
16,Dean Austin,eng ENG,DF,Tottenham,26,1970,15,13,"1,219",13.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
17,Espen Baardsen,no NOR,GK,Tottenham,18,1977,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Phil Babb,ie IRL,DF,Liverpool,25,1970,22,22,"1,860",20.7,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
19,Kevin Ball,eng ENG,"DF,MF",Sunderland,31,1964,32,32,"2,790",31,3,3,6,3,0,0,5,0,0.1,0.1,0.19,0.1,0.19,Matches
20,Michael Ball,eng ENG,DF,Everton,16,1979,5,2,200,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Nick Barmby,eng ENG,"FW,MF",Middlesbrough,22,1974,10,10,889,9.9,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,Matches
22,Nick Barmby,eng ENG,"FW,MF",Everton,22,1974,25,22,"1,940",21.6,4,7,11,4,0,0,0,0,0.19,0.32,0.51,0.19,0.51,Matches
23,John Barnes,eng ENG,"DF,FW",Liverpool,32,1963,35,34,"3,068",34.1,4,6,10,4,0,0,0,0,0.12,0.18,0.29,0.12,0.29,Matches
24,Earl Barrett,eng ENG,DF,Everton,29,1967,36,36,"3,240",36,0,2,2,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
25,Chris Bart-Williams,eng ENG,"DF,MF",Nott'ham Forest,22,1974,16,16,"1,357",15.1,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
