Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Samassi Abou,fr FRA,FW,West Ham,25,1973,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Tony Adams,eng ENG,DF,Arsenal,31,1966,26,26,"2,340",26,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
3,Junior Agogo,gh GHA,FW,Sheffield Weds,18,1979,1,0,41,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Gareth Ainsworth,eng ENG,MF,Wimbledon,25,1973,8,5,465,5.2,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
5,Philippe Albert,be BEL,DF,Newcastle Utd,30,1967,6,3,362,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
6,Niclas Alexandersson,se SWE,MF,Sheffield Weds,26,1971,32,31,"2,608",29,3,3,6,3,0,0,0,0,0.1,0.1,0.21,0.1,0.21,Matches
7,Rory Allen,eng ENG,FW,Tottenham,20,1977,5,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Bernard Allou,fr FRA,"FW,MF",Nott'ham Forest,23,1975,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,John Aloisi,au AUS,FW,Coventry City,22,1976,16,7,724,8,5,2,7,5,0,0,0,1,0.62,0.25,0.87,0.62,0.87,Matches
10,Andreas Andersson,se SWE,FW,Newcastle Utd,24,1974,15,11,917,10.2,2,0,2,2,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
11,Darren Anderton,eng ENG,MF,Tottenham,26,1972,32,31,"2,721",30.2,3,9,12,1,2,2,6,0,0.1,0.3,0.4,0.03,0.33,Matches
12,Tore André Flo,no NOR,FW,Chelsea,25,1973,30,18,"1,892",21,10,4,14,10,0,0,2,0,0.48,0.19,0.67,0.48,0.67,Matches
13,Nicolas Anelka,fr FRA,FW,Arsenal,19,1979,35,34,"2,793",31,17,5,22,17,0,0,1,0,0.55,0.16,0.71,0.55,0.71,Matches
14,Neal Ardley,eng ENG,MF,Wimbledon,25,1972,23,16,"1,503",16.7,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
15,Alun Armstrong,eng ENG,FW,Middlesbrough,23,1975,6,0,161,1.8,1,1,2,1,0,0,0,0,0.56,0.56,1.12,0.56,1.12,Matches
16,Chris Armstrong,eng ENG,FW,Tottenham,27,1971,34,24,"2,357",26.2,7,1,8,7,0,0,4,1,0.27,0.04,0.31,0.27,0.31,Matches
17,Craig Armstrong,eng ENG,"DF,MF",Nott'ham Forest,23,1975,22,20,"1,710",19,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
18,Pegguy Arphexad,fr FRA,GK,Leicester City,25,1973,4,2,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
