Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Emmanuel Adebayor,tg TOG,FW,Arsenal,21,1984,13,12,"1,001",11.1,4,4,8,4,0,0,0,0,0.36,0.36,0.72,0.36,0.72,Matches
2,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,18,1986,9,3,446,5,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Matches
3,Daniel Agger,dk DEN,DF,Liverpool,20,1984,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Yakubu Aiyegbeni,ng NGA,FW,Middlesbrough,22,1982,34,29,"2,586",28.7,13,6,19,10,3,3,0,0,0.45,0.21,0.66,0.35,0.56,Matches
5,Martin Albrechtsen,dk DEN,DF,West Brom,25,1980,31,26,"2,513",27.9,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
6,Jérémie Aliadière,fr FRA,"FW,MF",West Ham,22,1983,7,1,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Ben Alnwick,eng ENG,GK,Sunderland,18,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Xabi Alonso,es ESP,MF,Liverpool,23,1981,35,29,"2,571",28.6,3,7,10,3,0,0,7,1,0.11,0.25,0.35,0.11,0.35,Matches
9,Darren Ambrose,eng ENG,"FW,MF",Charlton Ath,21,1984,28,19,"1,685",18.7,3,2,5,3,0,0,2,1,0.16,0.11,0.27,0.16,0.27,Matches
10,Shola Ameobi,ng NGA,FW,Newcastle Utd,23,1981,30,25,"2,134",23.7,9,2,11,8,1,1,4,0,0.38,0.08,0.46,0.34,0.42,Matches
11,Stephan Andersen,dk DEN,GK,Charlton Ath,23,1981,15,15,"1,350",15,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Victor Anichebe,ng NGA,FW,Everton,17,1988,2,0,29,0.3,1,0,1,1,0,0,0,0,3.1,0,3.1,3.1,3.1,Matches
13,José Antonio Reyes,es ESP,MF,Arsenal,21,1983,26,22,"1,793",19.9,5,10,15,5,0,0,5,0,0.25,0.5,0.75,0.25,0.75,Matches
14,Julio Arca,ar ARG,"DF,MF",Sunderland,24,1981,24,22,"1,979",22,1,3,4,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,Matches
15,John Arne Riise,no NOR,"DF,MF",Liverpool,24,1980,32,24,"2,264",25.2,1,1,2,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
16,Mikel Arteta,es ESP,MF,Everton,23,1982,29,27,"2,368",26.3,1,7,8,1,0,0,7,1,0.04,0.27,0.3,0.04,0.3,Matches
17,Jamie Ashdown,eng ENG,GK,Portsmouth,24,1980,17,17,"1,530",17,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Dean Ashton,eng ENG,FW,West Ham,21,1983,11,9,680,7.6,3,0,3,3,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
19,Celestine Babayaro,ng NGA,"DF,MF",Newcastle Utd,26,1978,28,26,"2,317",25.7,0,1,1,0,0,0,3,1,0,0.04,0.04,0,0.04,Matches
20,Leighton Baines,eng ENG,DF,Wigan Athletic,20,1984,37,35,"3,103",34.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
21,Eirik Bakke,no NOR,MF,Aston Villa,27,1977,14,8,685,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Phil Bardsley,sct SCO,DF,Manchester Utd,20,1985,8,3,303,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
