Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Charlie Adam,sct SCO,MF,Stoke City,26,1985,27,22,"1,757",19.5,3,2,5,3,0,0,9,1,0.15,0.1,0.26,0.15,0.26,Matches
2,Emmanuel Adebayor,tg TOG,FW,Tottenham,28,1984,25,18,"1,598",17.8,5,1,6,5,0,0,3,1,0.28,0.06,0.34,0.28,0.34,Matches
3,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,25,1986,28,24,"2,187",24.3,9,3,12,9,0,0,4,0,0.37,0.12,0.49,0.37,0.49,Matches
4,Daniel Agger,dk DEN,DF,Liverpool,27,1984,35,35,"3,098",34.4,3,0,3,3,0,0,3,1,0.09,0,0.09,0.09,0.09,Matches
5,Sergio Agüero,ar ARG,FW,Manchester City,24,1988,30,22,"1,941",21.6,12,2,14,10,2,2,2,0,0.56,0.09,0.65,0.46,0.56,Matches
6,Kemy Agustien,cw CUW,"DF,MF",Swansea City,25,1986,18,4,578,6.4,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
7,Karim El Ahmadi,ma MAR,MF,Aston Villa,27,1985,20,12,"1,176",13.1,1,0,1,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
8,Nathan Aké,nl NED,"DF,MF",Chelsea,17,1995,3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Hope Akpan,ng NGA,MF,Reading,20,1991,9,6,471,5.2,0,3,3,0,0,0,0,0,0,0.57,0.57,0,0.57,Matches
10,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,22,1989,9,4,429,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Antolín Alcaraz,py PAR,DF,Wigan Athletic,30,1982,10,8,691,7.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
12,Joe Allen,wls WAL,MF,Liverpool,22,1990,27,21,"1,920",21.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
13,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,20,1992,8,1,236,2.6,0,1,1,0,0,0,1,0,0,0.38,0.38,0,0.38,Matches
14,Shola Ameobi,ng NGA,FW,Newcastle Utd,30,1981,23,4,686,7.6,1,1,2,1,0,0,5,0,0.13,0.13,0.26,0.13,0.26,Matches
15,Anderson,br BRA,MF,Manchester Utd,24,1988,17,9,824,9.2,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
16,Victor Anichebe,ng NGA,FW,Everton,24,1988,26,19,"1,712",19,6,4,10,6,0,0,2,0,0.32,0.21,0.53,0.32,0.53,Matches
17,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,23,1989,25,17,"1,733",19.3,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
